Table 1: Monthly Averages
Date,Avg. Optical Eff.,Avg. Cosine Eff.,Avg. S/B Eff.,Avg. Truncation Eff.,Power per Area (kW/m^2)
1/21,0.5710,0.7145,0.9855,0.9132,0.4848
2/21,0.5835,0.7298,0.9876,0.9118,0.5317
3/21,0.5931,0.7431,0.9876,0.9101,0.5654
4/21,0.6003,0.7532,0.9875,0.9089,0.5878
5/21,0.6038,0.7581,0.9874,0.9084,0.5981
6/21,0.6049,0.7596,0.9874,0.9083,0.6010
7/21,0.6038,0.7581,0.9874,0.9084,0.5980
8/21,0.6000,0.7529,0.9875,0.9090,0.5871
9/21,0.5927,0.7425,0.9876,0.9102,0.5639
10/21,0.5822,0.7280,0.9875,0.9120,0.5267
11/21,0.5695,0.7131,0.9846,0.9133,0.4797
12/21,0.5620,0.7073,0.9794,0.9134,0.4568


Table 2: Annual Averages
Metric,Value
Year Avg Optical Efficiency,0.5889
Year Avg Cosine Efficiency,0.7383
Year Avg Shadow/Block Efficiency,0.9864
Year Avg Truncation Efficiency,0.9106
Year Avg Heat Power (MW),34.4522
Year Avg Power per Area (kW/m^2),0.5484
